gene	control_1_rpkm	control_2_rpkm	control_3_rpkm	nq_1_rpkm	nq_2_rpkm	nq_2_rpkm	control_avg_rpkm	nq_avg_rpkm	total_avg_rpkm	logfc	pvalue	DEGs
stx1a	0.135	0.161	0.214	0.125	0.129	0.147	0.17	0.133666666667	0.151833333333	-0.35	0.0680907749991245	Non DEG
bud23	2.183	2.166	2.114	1.985	2.123	2.318	2.15433333333	2.142	2.14816666667	-0.01	0.917917370438016	Non DEG
cul3b	2.35	2.166	2.302	2.384	2.383	2.384	2.27266666667	2.38366666667	2.32816666667	0.07	0.249001382648014	Non DEG
fam124b	0.259	0.238	0.296	0.341	0.341	0.307	0.264333333333	0.329666666667	0.297	0.32	0.0942459340930017	Non DEG
mmp28	0.079	0.109	0.119	0.104	0.078	0.126	0.102333333333	0.102666666667	0.1025	0	0.981818110654986	Non DEG
taf15	10.825	10.574	10.483	10.846	11.654	10.825	10.6273333333	11.1083333333	10.8678333333	0.06	0.238459076726598	Non DEG
porb	0.294	0.288	0.327	0.329	0.372	0.299	0.303	0.333333333333	0.318166666667	0.13	0.136375407074411	Non DEG
sbds	1.246	1.386	1.362	1.551	1.151	1.307	1.33133333333	1.33633333333	1.33383333333	0	0.977217489374061	Non DEG
dock10	0.085	0.067	0.072	0.063	0.063	0.061	0.0746666666667	0.0623333333333	0.0685	-0.26	0.0068329472020706	Non DEG
taar12m	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
shox2	0.027	0	0	0.013	0.014	0.014	0.009	0.0136666666667	0.0113333333333	0.52	0.541086640947855	Non DEG
rsrc1	0.573	0.574	0.557	0.567	0.569	0.54	0.568	0.558666666667	0.563333333333	-0.02	0.655484535654066	Non DEG
hephl1a	0.921	0.829	0.758	0.538	0.579	0.584	0.836	0.567	0.7015	-0.56	7.4222829612435e-17	Non DEG
panx1a	2.023	2.193	1.941	2.193	2.133	2.296	2.05233333333	2.20733333333	2.12983333333	0.1	0.126376250366488	Non DEG
neu4	0.195	0.158	0.241	0.366	0.193	0.173	0.198	0.244	0.221	0.3	0.146335173374478	Non DEG
wdr53	1.671	1.425	1.955	1.794	1.766	2.002	1.68366666667	1.854	1.76883333333	0.14	0.157399349324929	Non DEG
srprb	1.801	1.936	1.912	1.949	2.008	2.109	1.883	2.022	1.9525	0.1	0.19641972845349	Non DEG
cux1b	0.84	0.784	0.759	0.774	0.834	0.752	0.794333333333	0.786666666667	0.7905	-0.01	0.851746709755362	Non DEG
sh2b2	0.403	0.378	0.359	0.442	0.451	0.404	0.38	0.432333333333	0.406166666667	0.19	0.0482945897857317	Non DEG
dnajc30b	0.659	0.455	0.592	0.412	0.56	0.28	0.568666666667	0.417333333333	0.493	-0.44	0.00555409623394343	Non DEG
cldnj	0.114	0.028	0.029	0.056	0.055	0.281	0.057	0.130666666667	0.0938333333333	1.15	0.0754949474729844	Non DEG
cldne	32.805	35.899	37.164	30.244	29.981	31.534	35.2893333333	30.5863333333	32.9378333333	-0.21	0.000563426431855444	Non DEG
cldnf	5.733	6.575	6.487	5.915	5.316	4.289	6.265	5.17333333333	5.71916666667	-0.27	0.0038957246154034	Non DEG
cldna	2.319	1.74	2.52	1.095	1.559	1.068	2.193	1.24066666667	1.71683333333	-0.83	8.30627265538483e-08	Non DEG
LOC100333734	0	0.155	0.05	0	0.025	0	0.0683333333333	0.00833333333333	0.0383333333333	-2.62	0.012190971535466	Non DEG
LOC100333863	0	0	0.07	0	0.138	0.069	0.0233333333333	0.069	0.0461666666667	1.41	0.1540648100359	Non DEG
si:ch211-235m3.5	0.241	0.255	0.286	0.338	0.29	0.336	0.260666666667	0.321333333333	0.291	0.3	0.00442500852472604	Non DEG
ppp5c	5.564	5.729	5.644	6.365	6.302	6.441	5.64566666667	6.36933333333	6.0075	0.17	0.00140089134919228	Non DEG
tgfb1a	0.058	0.052	0.042	0.058	0.063	0.037	0.0506666666667	0.0526666666667	0.0516666666667	0.05	0.823385258063258	Non DEG
amotl1	0.321	0.252	0.302	0.252	0.317	0.362	0.291666666667	0.310333333333	0.301	0.09	0.405718006984643	Non DEG
ankrd49	0.89	0.747	0.939	1.164	0.833	0.802	0.858666666667	0.933	0.895833333333	0.12	0.328883512597521	Non DEG
mre11a	0.306	0.282	0.326	0.296	0.264	0.292	0.304666666667	0.284	0.294333333333	-0.1	0.304227158780872	Non DEG
guca1c	0.016	0.034	0.003	0.065	0.039	0.062	0.0176666666667	0.0553333333333	0.0365	1.63	1.09262675618175e-05	Slightly upregulated
LOC110437884	0.229	0.209	0.185	0.218	0.218	0.249	0.207666666667	0.228333333333	0.218	0.13	0.431252993098404	Non DEG
zgc:153184	0.106	0.09	0.083	0.108	0.09	0.111	0.093	0.103	0.098	0.15	0.288628124091648	Non DEG
mlnr	0.584	0.667	0.566	0.594	0.546	0.566	0.605666666667	0.568666666667	0.587166666667	-0.09	0.571130426819368	Non DEG
fndc3a	0.919	0.884	0.931	0.901	0.876	0.901	0.911333333333	0.892666666667	0.902	-0.03	0.610058590106338	Non DEG
LOC101882841	0.025	0	0	0	0	0	0.00833333333333	0.0	0.00416666666667	-2.67	0.0942639457137009	Non DEG
cysltr2b	0.076	0.095	0.071	0.08	0.031	0.064	0.0806666666667	0.0583333333333	0.0695	-0.46	0.159208926080139	Non DEG
rcbtb2	0.165	0.162	0.158	0.152	0.114	0.141	0.161666666667	0.135666666667	0.148666666667	-0.26	0.0332307447604254	Non DEG
mtus2b	0.061	0.07	0.056	0.055	0.054	0.066	0.0623333333333	0.0583333333333	0.0603333333333	-0.1	0.519122289652503	Non DEG
stoml3a	0.146	0.173	0.102	0.244	0.332	0.366	0.140333333333	0.314	0.227166666667	1.16	2.31644576045817e-07	Slightly upregulated
slc25a15a	0.085	0.08	0.079	0.15	0.12	0.149	0.0813333333333	0.139666666667	0.1105	0.78	7.82956196544982e-07	Non DEG
foxo1a	0.165	0.167	0.161	0.166	0.145	0.136	0.164333333333	0.149	0.156666666667	-0.14	0.0852625405043113	Non DEG
cog6	0.189	0.181	0.246	0.217	0.191	0.173	0.205333333333	0.193666666667	0.1995	-0.08	0.313262712519594	Non DEG
LOC100334706	0.129	0.154	0.138	0.121	0.113	0.127	0.140333333333	0.120333333333	0.130333333333	-0.22	0.00669777206380997	Non DEG
nek3	0.177	0.14	0.177	0.149	0.188	0.204	0.164666666667	0.180333333333	0.1725	0.13	0.411510232552572	Non DEG
lpar6a	4.99	5.286	5.248	3.717	4.226	4.13	5.17466666667	4.02433333333	4.5995	-0.36	0.000232804756358481	Non DEG
LOC110437942	0.108	0.1	0.097	0.232	0.151	0.156	0.101666666667	0.179666666667	0.140666666667	0.82	0.0073152122536446	Non DEG
LOC100537178	0.139	0.33	0.232	0.802	0.925	0.641	0.233666666667	0.789333333333	0.5115	1.75	3.36433089985691e-39	Slightly upregulated
LOC794117	0.056	0.073	0.081	0.08	0.107	0.123	0.07	0.103333333333	0.0866666666667	0.56	0.0780797277486108	Non DEG
LOC100333926	0.024	0.048	0.05	0.018	0.03	0.025	0.0406666666667	0.0243333333333	0.0325	-0.74	0.14569658807203	Non DEG
LOC558876	0.154	0.159	0.149	0.21	0.216	0.129	0.154	0.185	0.1695	0.27	0.184420735555507	Non DEG
zmp:0000001236	0.034	0.046	0.031	0.039	0.046	0.033	0.037	0.0393333333333	0.0381666666667	0.08	0.586850727155633	Non DEG
fam188b2	0.017	0.018	0.017	0.026	0.017	0.004	0.0173333333333	0.0156666666667	0.0165	-0.14	0.808835327249915	Non DEG
clrn1	0.036	0.046	0.086	0.041	0.07	0.07	0.056	0.0603333333333	0.0581666666667	0.1	0.76510841844746	Non DEG
gpr171	0	0	0	0	0.03	0	0.0	0.01	0.005	1.87	0.241509130478545	Non DEG
LOC100147937	0	0	0	0	0.011	0	0.0	0.00366666666667	0.00183333333333	1.87	0.241509130478545	Non DEG
si:dkey-83h2.2	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
LOC793750	0.022	0.012	0.006	0.011	0.028	0.017	0.0133333333333	0.0186666666667	0.016	0.47	0.484955071588622	Non DEG
LOC101885866	0.03	0.03	0.058	0	0	0	0.0393333333333	0.0	0.0196666666667	-4.49	0.00082453388460311	Strongly downregulated
rnf168	0.788	0.704	0.732	0.743	0.801	0.734	0.741333333333	0.759333333333	0.750333333333	0.04	0.66977711465536	Non DEG
si:dkey-83h2.5	0.075	0.066	0.088	0.077	0.071	0.074	0.0763333333333	0.074	0.0751666666667	-0.05	0.777316257405594	Non DEG
ece2b	0.497	0.512	0.518	0.456	0.445	0.469	0.509	0.456666666667	0.482833333333	-0.16	0.00772390220250679	Non DEG
atp1b3b	0.186	0.227	0.229	0.236	0.279	0.265	0.214	0.26	0.237	0.28	0.000754641804943845	Non DEG
tfdp2	1.142	1.173	1.195	1.08	1.022	1.007	1.17	1.03633333333	1.10316666667	-0.17	0.00272641954424184	Non DEG
rffl	0.42	0.516	0.457	0.5	0.397	0.426	0.464333333333	0.441	0.452666666667	-0.07	0.374024138402467	Non DEG
eif4h	4.062	3.848	3.927	4.057	3.673	3.854	3.94566666667	3.86133333333	3.9035	-0.03	0.569016978727287	Non DEG
si:dkey-35i13.1	0	0	0.016	0.031	0.122	0	0.00533333333333	0.051	0.0281666666667	2.9	0.00376249679613067	Upregulated
lipt2	0.329	0.256	0.322	0.301	0.293	0.26	0.302333333333	0.284666666667	0.2935	-0.09	0.554168914028843	Non DEG
rnf169	1.784	1.987	1.842	3.127	3.286	3.193	1.871	3.202	2.5365	0.78	1.16965057873257e-32	Non DEG
spcs2	3.367	3.221	3.295	3.788	3.937	3.537	3.29433333333	3.754	3.52416666667	0.19	0.00356192446409065	Non DEG
defbl3	0.444	0.484	0.451	0.505	0.505	0.444	0.459666666667	0.484666666667	0.472166666667	0.08	0.662374423447775	Non DEG
abcg1	0.065	0.067	0.061	0.073	0.06	0.072	0.0643333333333	0.0683333333333	0.0663333333333	0.08	0.592870470656582	Non DEG
mxf	0.088	0.056	0.07	0.084	0.097	0.095	0.0713333333333	0.092	0.0816666666667	0.37	0.0588744086441433	Non DEG
pgm2l1	0.352	0.344	0.406	0.384	0.388	0.341	0.367333333333	0.371	0.369166666667	0.02	0.850440459353929	Non DEG
or128-10	0	0	0	0	0.041	0	0.0	0.0136666666667	0.00683333333333	2.65	0.0976858137400051	Non DEG
or126-7	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or126-5	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or126-4	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or126-3	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or126-2	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or128-9	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or128-8	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or128-7	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or128-6	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
or128-5	0	0	0.048	0.024	0.023	0.024	0.016	0.0236666666667	0.0198333333333	0.49	0.665385597272411	Non DEG
or128-4	0	0	0	0.025	0	0	0.0	0.00833333333333	0.00416666666667	1.87	0.241509031302523	Non DEG
or128-3	0	0	0	0.075	0.077	0	0.0	0.0506666666667	0.0253333333333	4.08	0.00413955167630427	Strongly upregulated
or128-2	0.102	0.366	0.051	0.1	0.051	0.15	0.173	0.100333333333	0.136666666667	-0.72	0.30242280740965	Non DEG
or128-1	0.132	0.033	0	0.195	0.163	0.126	0.055	0.161333333333	0.108166666667	1.5	0.0244676392689103	Non DEG
or126-1	0.028	0.108	0.054	0.082	0.107	0.107	0.0633333333333	0.0986666666667	0.081	0.61	0.360662470841205	Non DEG
or127-1	0	0	0	0	0.195	0.05	0.0	0.0816666666667	0.0408333333333	3.83	0.00885026310380159	Non DEG
or121-1	0	0	0.051	0	0	0.151	0.017	0.0503333333333	0.0336666666667	1.28	0.313242968534534	Non DEG
or122-1	0	0	0	0.061	0.063	0.031	0.0	0.0516666666667	0.0258333333333	3.83	0.00885023456938365	Non DEG
si:ch1073-166e24.4	0	0	0	0.08	0	0	0.0	0.0266666666667	0.0133333333333	2.65	0.0976856725225118	Non DEG
or122-2	0.068	0	0.033	0.101	0	0	0.0336666666667	0.0336666666667	0.0336666666667	-0.02	0.986062111418661	Non DEG
LOC101883445	0	0	0.032	0.065	0	0	0.0106666666667	0.0216666666667	0.0161666666667	0.77	0.568392126721756	Non DEG
or113-1	0.05	0.098	0.1	0.05	0.193	0	0.0826666666667	0.081	0.0818333333333	-0.02	0.982014459423005	Non DEG
or113-2	0.098	0	0.201	0	0.193	0.397	0.0996666666667	0.196666666667	0.148166666667	0.94	0.163285493402367	Non DEG
si:ch1073-22e3.1	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:cabz01018874.2	0.101	0.104	0.101	0	0.103	0	0.102	0.0343333333333	0.0681666666667	-1.44	0.142988967015449	Non DEG
or114-1	0.536	0.705	0.326	0.496	0.462	0.642	0.522333333333	0.533333333333	0.527833333333	0.04	0.89480828347543	Non DEG
or112-1	0.529	0.305	0.286	0.387	0.732	0.488	0.373333333333	0.535666666667	0.4545	0.53	0.032870392082677	Non DEG
si:ch1073-22e3.4	0.344	0.706	0.573	0.49	0.256	0.339	0.541	0.361666666667	0.451333333333	-0.58	0.08967543844025	Non DEG
arrb1	0.272	0.268	0.262	0.292	0.287	0.322	0.267333333333	0.300333333333	0.283833333333	0.17	0.0260992130923095	Non DEG
LOC110437943	0.7	0.69	0.672	0.622	0.654	0.649	0.687333333333	0.641666666667	0.6645	-0.1	0.130588392039817	Non DEG
atg16l2	0.802	0.897	0.865	0.77	0.78	0.717	0.854666666667	0.755666666667	0.805166666667	-0.18	0.0116352259938492	Non DEG
wdr62	1.3	1.344	1.367	1.191	1.12	1.134	1.337	1.14833333333	1.24266666667	-0.22	0.000186895986008554	Non DEG
urb1	1.803	1.77	1.671	1.619	1.632	1.581	1.748	1.61066666667	1.67933333333	-0.12	0.0315212960872845	Non DEG
phkg1a	0.101	0.086	0.129	0.073	0.085	0.113	0.105333333333	0.0903333333333	0.0978333333333	-0.22	0.251178392002511	Non DEG
chchd2	2.904	3.103	2.673	4.457	4.071	4.731	2.89333333333	4.41966666667	3.6565	0.61	7.24328353624279e-18	Non DEG
hnrnpl2	21.515	21.874	22.228	21.989	22.835	22.645	21.8723333333	22.4896666667	22.181	0.04	0.444237707458916	Non DEG
rbp2a	0.127	0.135	0.11	0.157	0.228	0.137	0.124	0.174	0.149	0.49	0.016532921136524	Non DEG
brwd1	2.179	2.426	2.255	2.616	2.475	2.356	2.28666666667	2.48233333333	2.3845	0.12	0.0304817721889209	Non DEG
si:ch73-281n10.2	283.13	283.589	277.232	255.277	242.373	244.101	281.317	247.250333333	264.283666667	-0.19	0.000272826451997067	Non DEG
wrb	0.458	0.446	0.452	0.341	0.377	0.363	0.452	0.360333333333	0.406166666667	-0.33	0.00490856227701063	Non DEG
sh3bgr	0.132	0.127	0.127	0.118	0.094	0.108	0.128666666667	0.106666666667	0.117666666667	-0.27	0.0254625979375905	Non DEG
igsf5b	0.11	0.149	0.143	0.134	0.133	0.151	0.134	0.139333333333	0.136666666667	0.06	0.557337507059576	Non DEG
pcp4b	0.072	0.074	0.073	0.077	0.079	0.079	0.073	0.0783333333333	0.0756666666667	0.1	0.435021250747393	Non DEG
dscamb	0.035	0.039	0.038	0.036	0.031	0.045	0.0373333333333	0.0373333333333	0.0373333333333	0	0.998145491405514	Non DEG
bace2	0.072	0.076	0.066	0.082	0.125	0.091	0.0713333333333	0.0993333333333	0.0853333333333	0.48	0.00129883441457327	Non DEG
atm	0.513	0.53	0.559	0.49	0.495	0.53	0.534	0.505	0.5195	-0.08	0.16995027594995	Non DEG
nop53	6.958	6.801	7.412	6.695	6.47	6.57	7.057	6.57833333333	6.81766666667	-0.1	0.0767590642296292	Non DEG
LOC100331216	0.058	0.05	0.05	0.056	0.053	0.047	0.0526666666667	0.052	0.0523333333333	-0.02	0.899816766798372	Non DEG
si:ch1073-228b5.2	0.296	0.301	0.278	0.275	0.355	0.359	0.291666666667	0.329666666667	0.310666666667	0.17	0.24598888052931	Non DEG
sirt2	0.797	0.815	0.768	0.784	0.898	0.827	0.793333333333	0.836333333333	0.814833333333	0.08	0.326902005386429	Non DEG
rinl	0.101	0.11	0.106	0.148	0.171	0.146	0.105666666667	0.155	0.130333333333	0.55	0.000221083193948462	Non DEG
meis3	3.718	3.915	4.315	2.956	3.036	3.033	3.98266666667	3.00833333333	3.4955	-0.4	2.01259178218532e-12	Non DEG
LOC100334526	0.131	0.123	0.14	0.138	0.154	0.146	0.131333333333	0.146	0.138666666667	0.15	0.246006961060289	Non DEG
ech1	0.855	0.95	0.989	0.622	0.762	0.546	0.931333333333	0.643333333333	0.787333333333	-0.53	1.63191447363418e-10	Non DEG
mrps22	1.007	0.961	0.996	0.855	0.852	0.797	0.988	0.834666666667	0.911333333333	-0.24	0.00268414544367791	Non DEG
si:ch73-311h14.2	3.098	3.382	3.136	3.612	3.575	3.667	3.20533333333	3.618	3.41166666667	0.18	0.0120187473317995	Non DEG
foxl2	0.432	0.421	0.307	0.288	0.224	0.246	0.386666666667	0.252666666667	0.319666666667	-0.61	0.00787249156362189	Non DEG
pik3cb	0.703	0.67	0.683	0.459	0.501	0.482	0.685333333333	0.480666666667	0.583	-0.51	6.21892916897028e-17	Non DEG
her8.2	0.225	0.208	0.284	0.119	0.153	0.193	0.239	0.155	0.197	-0.62	0.0810582408211127	Non DEG
her13	1.247	1.154	1.169	0.841	1.073	0.88	1.19	0.931333333333	1.06066666667	-0.35	0.0206638652101059	Non DEG
zgc:63694	2.222	2.364	2.15	2.164	2.249	2.253	2.24533333333	2.222	2.23366666667	-0.01	0.80101304628652	Non DEG
gbe1b	0.147	0.148	0.144	0.124	0.12	0.105	0.146333333333	0.116333333333	0.131333333333	-0.33	8.74430591711215e-07	Non DEG
cadm2b	0.025	0.028	0.026	0.027	0.026	0.027	0.0263333333333	0.0266666666667	0.0265	0.02	0.793924665241354	Non DEG
bach1a	0.35	0.307	0.302	0.332	0.499	0.608	0.319666666667	0.479666666667	0.399666666667	0.59	0.000303880137896218	Non DEG
mipep	0.477	0.412	0.492	0.41	0.423	0.425	0.460333333333	0.419333333333	0.439833333333	-0.13	0.0789813346497419	Non DEG
tnfrsf19	1.245	1.238	1.23	0.676	0.71	0.739	1.23766666667	0.708333333333	0.973	-0.81	6.76890834525005e-42	Non DEG
si:ch211-113p18.3	0.749	0.967	0.884	0.846	0.97	0.871	0.866666666667	0.895666666667	0.881166666667	0.05	0.707940307487149	Non DEG
egln2	0.425	0.43	0.485	0.249	0.267	0.284	0.446666666667	0.266666666667	0.356666666667	-0.74	2.04380975537216e-20	Non DEG
tmem160	1.456	1.262	1.144	0.847	1.157	1.071	1.28733333333	1.025	1.15616666667	-0.32	0.00652047148841235	Non DEG
npas1	0.016	0.016	0.011	0.021	0.016	0.019	0.0143333333333	0.0186666666667	0.0165	0.33	0.127528771585493	Non DEG
LOC100004299	3.027	3.199	3.195	2.558	2.613	2.65	3.14033333333	2.607	2.87366666667	-0.27	2.30581160074008e-07	Non DEG
ap2s1	1.29	1.274	1.253	1.213	1.253	1.304	1.27233333333	1.25666666667	1.2645	-0.02	0.775307908197392	Non DEG
rab4b	0.671	0.695	0.691	0.6	0.569	0.581	0.685666666667	0.583333333333	0.6345	-0.23	0.000923043020855933	Non DEG
rhoub	3.735	3.402	3.515	3.266	3.154	3.215	3.55066666667	3.21166666667	3.38116666667	-0.14	0.0260425244856598	Non DEG
rtn2a	0.01	0.022	0.016	0.031	0.013	0.024	0.016	0.0226666666667	0.0193333333333	0.48	0.136856000295854	Non DEG
ppm1na	0	0.006	0.003	0	0	0.009	0.003	0.003	0.003	-0.02	0.986057852269038	Non DEG
si:dkey-202g17.3	0	0	0	0	0	0.003	0.0	0.001	0.0005	1.87	0.241509169653267	Non DEG
ptgir	0.078	0.09	0.097	0.095	0.079	0.089	0.0883333333333	0.0876666666667	0.088	-0.01	0.939432180216212	Non DEG
calm3a	0.387	0.379	0.394	0.326	0.382	0.345	0.386666666667	0.351	0.368833333333	-0.14	0.0971845500011676	Non DEG
si:ch211-261a10.5	0.218	0.212	0.182	0.179	0.197	0.194	0.204	0.19	0.197	-0.1	0.509748951773149	Non DEG
slc37a4a	0.733	0.626	0.672	0.542	0.516	0.559	0.677	0.539	0.608	-0.33	0.000187124135571046	Non DEG
trappc4	1.168	1.092	1.206	0.882	1.024	1.317	1.15533333333	1.07433333333	1.11483333333	-0.1	0.336189515352048	Non DEG
sgcg	0.044	0.039	0.017	0.048	0.05	0.065	0.0333333333333	0.0543333333333	0.0438333333333	0.7	0.0118350178384136	Non DEG
sacs	0.648	0.679	0.593	0.572	0.614	0.631	0.64	0.605666666667	0.622833333333	-0.08	0.239972077196695	Non DEG
gab2	0.122	0.121	0.111	0.092	0.092	0.101	0.118	0.095	0.1065	-0.31	0.000110085246002251	Non DEG
nars2	0.116	0.134	0.107	0.14	0.146	0.148	0.119	0.144666666667	0.131833333333	0.28	0.0405545216153102	Non DEG
LOC103908802	0.563	0.438	0.395	0.617	0.587	0.515	0.465333333333	0.573	0.519166666667	0.3	0.0279575435790379	Non DEG
LOC110437944	0.163	0.187	0.106	0.189	0.331	0.35	0.152	0.29	0.221	0.93	0.000249954767775349	Non DEG
LOC108179280	1.023	0.793	0.961	1.063	0.974	0.984	0.925666666667	1.007	0.966333333333	0.12	0.326798495998411	Non DEG
LOC793824	2.316	2.196	2.417	2.308	1.952	2.04	2.30966666667	2.1	2.20483333333	-0.14	0.162908779004999	Non DEG
tenm4	0.611	0.61	0.605	0.397	0.403	0.406	0.608666666667	0.402	0.505333333333	-0.6	3.98213775448172e-29	Non DEG
LOC110437888	0.73	0.674	0.741	0.803	0.859	0.914	0.715	0.858666666667	0.786833333333	0.26	0.023624433805858	Non DEG
LOC110437945	0.652	0.826	0.254	0.612	0.657	0.594	0.577333333333	0.621	0.599166666667	0.11	0.698110576318385	Non DEG
LOC108179115	0.795	0.917	0.972	0.826	0.96	0.981	0.894666666667	0.922333333333	0.9085	0.04	0.681745632341182	Non DEG
LOC108179246	0.11	0.055	0.113	0.054	0	0.224	0.0926666666667	0.0926666666667	0.0926666666667	-0.02	0.982014515998438	Non DEG
fam181b	0.845	0.445	0.599	0.222	0.419	0.343	0.629666666667	0.328	0.478833333333	-0.94	0.000114720662245364	Non DEG
prcp	0.119	0.089	0.099	0.105	0.122	0.108	0.102333333333	0.111666666667	0.107	0.13	0.196637881987341	Non DEG
LOC110437889	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
rab30	2.697	2.592	2.653	2.358	2.193	2.234	2.64733333333	2.26166666667	2.4545	-0.23	8.39527691503278e-05	Non DEG
si:ch73-321d9.2	0.056	0.082	0.014	0.11	0.161	0.041	0.0506666666667	0.104	0.0773333333333	1.02	0.0424684685343569	Non DEG
ndufc2	1.46	1.438	1.255	1.346	1.224	1.256	1.38433333333	1.27533333333	1.32983333333	-0.12	0.113346831422507	Non DEG
slc1a5	1.943	1.872	1.811	2.51	2.448	2.533	1.87533333333	2.497	2.18616666667	0.41	3.00542817213981e-11	Non DEG
fkrp	1.318	1.592	1.394	1.704	1.635	1.692	1.43466666667	1.677	1.55583333333	0.23	0.0310616315722634	Non DEG
si:dkey-31c13.1	1.795	2.129	2.038	1.801	1.908	1.765	1.98733333333	1.82466666667	1.906	-0.12	0.129113256540394	Non DEG
strn4	3.538	3.387	3.391	3.306	3.11	3.198	3.43866666667	3.20466666667	3.32166666667	-0.1	0.0551404406960713	Non DEG
prkd2	7.545	7.468	7.722	10.099	9.469	9.728	7.57833333333	9.76533333333	8.67183333333	0.37	9.6572420062198e-13	Non DEG
gpr184	0.028	0.031	0.025	0.078	0.056	0.036	0.028	0.0566666666667	0.0423333333333	1.02	7.33355587269306e-05	Slightly upregulated
si:dkey-202l22.3	0.115	0.154	0.083	0.079	0.186	0.105	0.117333333333	0.123333333333	0.120333333333	0.07	0.844653875354719	Non DEG
si:dkey-202l22.6	0.029	0.015	0.029	0.043	0.051	0.057	0.0243333333333	0.0503333333333	0.0373333333333	1.02	0.0512873810631647	Non DEG
LOC110437892	0.063	0.049	0.088	0.104	0.087	0.075	0.0666666666667	0.0886666666667	0.0776666666667	0.4	0.0424791102513329	Non DEG
dscaml1	0.012	0.011	0.011	0.016	0.014	0.014	0.0113333333333	0.0146666666667	0.013	0.35	0.0497776412876678	Non DEG
fxyd6	0.015	0.019	0.02	0.021	0.01	0.022	0.018	0.0176666666667	0.0178333333333	-0.02	0.943391494157567	Non DEG
tmprss13a	0.046	0.014	0.053	0.087	0.079	0.081	0.0376666666667	0.0823333333333	0.06	1.13	2.8587603054837e-09	Slightly upregulated
il10ra	0.009	0.009	0.037	0	0	0	0.0183333333333	0.0	0.00916666666667	-5.05	4.23523130503849e-05	Strongly downregulated
tmprss4a	0.639	0.666	0.633	0.769	0.749	0.793	0.646	0.770333333333	0.708166666667	0.25	0.00157553547377821	Non DEG
scn4ba	0.008	0.006	0.023	0.018	0.019	0.011	0.0123333333333	0.016	0.0141666666667	0.35	0.340921192918423	Non DEG
scn2b	0.007	0.014	0.002	0.01	0.005	0.003	0.00766666666667	0.006	0.00683333333333	-0.36	0.526098942366338	Non DEG
LOC101884926	0	0	0	0	0.015	0	0.0	0.005	0.0025	2.65	0.0976858137400051	Non DEG
LOC101887068	1.083	1.052	1.133	1.069	1.017	0.912	1.08933333333	0.999333333333	1.04433333333	-0.12	0.118388135279927	Non DEG
LOC110437946	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
zgc:172282	0.033	0.029	0.028	0.028	0.027	0.026	0.03	0.027	0.0285	-0.15	0.148182211060101	Non DEG
zgc:162730	8.441	8.686	8.899	13.778	12.465	12.061	8.67533333333	12.768	10.7216666667	0.56	3.86383628008618e-13	Non DEG
zgc:114130	17.061	16.967	17.061	15.772	15.667	14.8	17.0296666667	15.413	16.2213333333	-0.14	0.0157463840149979	Non DEG
trappc6bl	0.687	0.815	0.619	0.799	0.731	0.563	0.707	0.697666666667	0.702333333333	-0.02	0.869633741886667	Non DEG
si:ch211-116o3.5	0.478	0.407	0.442	0.344	0.303	0.301	0.442333333333	0.316	0.379166666667	-0.48	8.59993748803013e-05	Non DEG
clca1	0.009	0.009	0.009	0.009	0.027	0.009	0.009	0.015	0.012	0.68	0.329773853066249	Non DEG
LOC101886645	0.004	0.046	0.024	0.048	0.037	0.044	0.0246666666667	0.043	0.0338333333333	0.8	0.00678196825087024	Non DEG
clca5.2	0.049	0.141	0.125	0.139	0.114	0.17	0.105	0.141	0.123	0.43	0.107897282108715	Non DEG
pnkp	2.111	1.945	2.055	1.714	1.897	1.8	2.037	1.80366666667	1.92033333333	-0.17	0.0115581009542981	Non DEG
si:dkey-243k1.3	0.118	0.178	0.079	0.323	0.138	0.168	0.125	0.209666666667	0.167333333333	0.73	0.0286024343784839	Non DEG
zgc:162193	2.693	2.629	2.336	1.401	1.312	1.614	2.55266666667	1.44233333333	1.9975	-0.83	8.77192137031588e-29	Non DEG
LOC110437947	4.73	4.313	4.911	5.909	6.879	6.879	4.65133333333	6.55566666667	5.6035	0.49	1.77827276721636e-05	Non DEG
si:ch211-11n16.3	1.312	0.992	0.984	1.983	1.996	2.101	1.096	2.02666666667	1.56133333333	0.88	1.9259690855759e-09	Non DEG
dpf1	0.13	0.142	0.121	0.125	0.13	0.124	0.131	0.126333333333	0.128666666667	-0.05	0.5431437042103	Non DEG
